"source","target","id","developer_comments"
"XMESS_0000","考えてみれば……","XMESS_0000","鳥羽美波"
"XMESS_0001","各務原さんのようにオフシーズンから
キャンプを始めた人というのは、
珍しいかもしれませんね。","XMESS_0001","鳥羽美波"
"XMESS_0002","この時期にキャンプする人って、
昔と比べてどうですか？","XMESS_0002","各務原なでしこ"
"XMESS_0003","そうですね。数年前に比べたら、
人数的には増えている気がしますね。","XMESS_0003","鳥羽美波"
"MSTD_0025-0","「仲間がいて嬉しいです」","MSTD_0025-0",""
"MSTD_0025-1","「ブームなんですかね？」","MSTD_0025-1",""
"MSTD_0025-2","「増えすぎると困りますね」","MSTD_0025-2",""
"XMESS_0004","えへへ、他にも同じような
仲間がいて嬉しいです。","XMESS_0004","各務原なでしこ"
"XMESS_0005","他のキャンパーさん達とも、
もっとお話してみたいな。","XMESS_0005","各務原なでしこ"
"XMESS_0006","各務原さんは、
初めて会った人と仲良くなるのが
得意そうですからね。","XMESS_0006","鳥羽美波"
"XMESS_0007","一時的なブームなんですかね？","XMESS_0007","各務原なでしこ"
"XMESS_0008","そうかもしれないですけど、
それでもそこを入口に趣味として続けていく
人だっていると思いますよ。","XMESS_0008","鳥羽美波"
"XMESS_0009","あまり増えすぎると困りますね。
その分キャンプ場も増えたりしないかな……。","XMESS_0009","各務原なでしこ"
"XMESS_0010","愛好者が増えるわけですし、
そういうこともあるかもしれませんね。","XMESS_0010","鳥羽美波"
