"source","target","id","developer_comments"
"XMESS_0000","大垣他们认真开始露营的契机，应该是抚子吧？

","XMESS_0000","机翻辅助：

大垣他们认真开始露营的契机，应该是抚子吧？



大垣他们真正开始露营的契机，不就是抚子吗？



大垣他们正式开始露营的时候，不是抚子吗？"
"XMESS_0001","嗯，或许是吧。
虽然有想过总有一天会露营，但或许没想到会这么认真。”
","XMESS_0001","机翻辅助：

嗯，或许是吧。
虽然有想过总有一天会露营，但或许没想到会这么认真。”


啊，也许吧。
虽然总有一天会爬，但是可能没想到会这么正式。


啊，也许吧。
虽然也想过总有一天会这么做，但可能还没想过要这么正式。"
"MSTD_0019-0","“不错的邂逅啊”","MSTD_0019-0","机翻辅助：

“不错的邂逅啊”

“真是美好的相遇啊”

“很好的相遇啊”"
"MSTD_0019-1","“完全迷上了呢”","MSTD_0019-1","机翻辅助：

“完全迷上了呢”

“完全迷上了”

“完全迷上你了”"
"MSTD_0019-2","“真意外啊”","MSTD_0019-2","机翻辅助：

“真意外啊”

“真是意外啊”"
"XMESS_0002","真是美好的邂逅。","XMESS_0002","机翻辅助：

真是美好的邂逅。

真是美好的相遇啊。

真是好的相遇啊。"
"XMESS_0003","嗯，真的这么觉得。
自从那家伙来了之后，就充满了开心的事情。","XMESS_0003","机翻辅助：

嗯，真的这么觉得。
自从那家伙来了之后，就充满了开心的事情。

啊，真的是这么想的。
那家伙来了以后净是开心的事。

啊，我真的这么想。
自从那家伙来了以后，尽是些开心的事。"
"XMESS_0004","完全迷上了呢。","XMESS_0004","机翻辅助：

完全迷上了呢。

完全迷上了。

完全迷上了啊。"
"XMESS_0005","有什么关系？露营又不是芝麻凛一个人的。

","XMESS_0005","机翻辅助：

有什么关系？露营又不是芝麻凛一个人的。



没关系吧？露营不仅仅是芝麻凛的东西。



没关系吧？露营不是芝麻凛的专属。"
"XMESS_0006","真意外啊。
没想到会和大垣他们一起去露营……
","XMESS_0006","机翻辅助：

真意外啊。
没想到会和大垣他们一起去露营……


真是意外啊。
没想到会和大垣他们一起去露营……


真意外啊。
没想到还会和大垣他们一起去露营……"
"XMESS_0007","我也没想过呢。","XMESS_0007","机翻辅助：

我也没想过呢。

我也没想过。"
